TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
APTI4;3.500,00;;1,26;0,26;0,14;50,30;486,77;396,44;1,03;0,75;0,04;0,01;5,01;0,88;-0,19;2,15;20,23;10,85;19,69;0,54;0,46;0,03;-22,74;84,17;;13.700,51;2.771,98;0,00;44.442.750,00
ARZZ3;94,52;0,90;179,57;6,87;3.322,77;48,54;5,20;3,06;105,64;106,95;1,04;0,07;5,49;17,46;-7,18;1,55;3,83;1.850,45;3,96;483,64;516,36;604,97;7,26;-16,50;51.959.278,96;13,76;0,53;-2,63;9.491.884.811,78
ASAI3;85,43;0,37;19,42;14,45;1,30;17,64;5,34;3,03;11,03;13,34;2,31;3,02;0,59;-140,93;-2,18;0,98;74,40;6,72;18,34;0,09;0,91;2,21;;;127.459.316,76;5,91;4,40;;22.901.844.469,41
ATMP3;7,30;;-1,19;1,46;0,11;5,49;-10,47;-16,68;-1,90;-4,57;-2,67;2,05;0,20;-0,49;-0,14;0,48;-122,21;-9,16;-29,94;0,07;0,93;0,55;-16,98;;1.154.399,28;4,98;-6,08;0,02;200.403.803,84
ATOM3;7,41;4,05;11,98;9,99;4,84;100,00;35,35;35,50;12,03;10,92;-1,11;-0,93;4,25;6,51;-267,00;4,12;83,41;40,42;78,92;0,48;0,52;1,14;;;822.398,04;0,74;0,62;0,07;158.832.354,40
AURA33;67,80;6,77;8,88;3,13;1,48;45,23;31,96;27,16;7,55;6,99;-0,55;-0,23;2,41;13,11;-2,60;1,36;35,29;16,69;27,80;0,47;0,53;0,61;;;25.736.952,48;21,63;7,63;0,00;4.818.268.950,60
AVLL3;26,14;;-1,83;1,86;0,27;-12,48;-102,43;-126,07;-2,26;-4,82;-2,56;2,11;2,31;2,89;-0,45;1,31;-101,29;-14,69;-20,92;0,14;0,85;0,12;;;333.450,68;14,46;-14,65;0,10;602.760.700,66
AZEV3;6,95;;0,95;-2,12;2,99;-490,30;8.092,30;7.652,35;0,90;0,86;0,00;;72,54;167,61;-7,32;1,03;-223,59;315,76;-236,26;-1,41;2,41;0,04;-38,42;;2.118.688,76;-3,28;7,33;0,00;134.508.000,00
AZEV4;6,59;;0,90;-2,01;2,84;-490,30;8.092,30;7.652,35;0,85;0,86;0,00;;68,78;158,93;-6,94;1,03;-223,59;315,76;-236,26;-1,41;2,41;0,04;-38,42;;9.800.811,92;-3,28;7,33;0,00;134.508.000,00
AZUL4;42,80;;-7,23;-3,19;3,55;-3,66;-37,84;-156,71;-29,94;-33,04;-3,04;;11,33;-9,49;-5,08;0,45;-44,18;-49,17;19,84;-1,11;2,11;0,31;-1,70;;236.265.502,72;-13,39;-5,92;0,51;54.262.870.674,18
B3SA3;15,90;6,49;22,18;3,99;2,10;90,38;61,43;44,64;16,12;14,72;-1,42;-0,35;9,90;13,18;-3,32;1,78;18,00;9,49;13,99;0,53;0,47;0,21;33,29;13,50;891.119.912,56;3,97;0,72;0,56;97.280.880.000,00
BAHI3;84,97;;-5,17;1,16;0,34;40,93;-4,94;-18,01;-18,85;-13,64;5,20;-0,32;0,93;-6,13;-0,44;0,80;-22,36;-6,62;-9,16;0,30;0,70;0,37;;;100.622,17;73,48;-16,43;-0,04;204.411.415,00
BALM3;19,30;3,11;8,64;1,56;0,87;51,82;11,93;13,25;9,60;8,89;-0,83;-0,14;1,14;2,23;-2,60;2,40;18,11;10,04;10,39;0,55;0,41;0,76;7,78;1,84;22.500,91;12,34;2,23;0,04;193.942.000,00
BALM4;19,80;3,38;8,86;1,60;0,89;51,82;11,93;13,25;9,84;8,89;-0,83;-0,14;1,17;2,29;-2,67;2,40;18,11;10,04;10,39;0,55;0,41;0,76;7,78;1,84;139.492,46;12,34;2,23;0,04;193.942.000,00
BAUH4;86,00;;20,89;4,77;3,12;21,72;11,40;11,43;20,95;20,03;-0,91;-0,21;2,39;65,94;-4,97;1,15;22,84;14,95;16,51;0,65;0,35;1,31;10,90;33,53;38.156,43;18,02;4,12;0,45;449.111.092,00
BAZA3;39,55;6,57;3,47;0,47;0,05;43,93;58,90;38,31;2,26;2,26;;;1,33;1,72;-0,06;;13,57;1,56;;0,11;0,89;0,04;-8,12;1,30;60.765,71;84,00;11,40;0,53;1.172.497.994,85
BBAS3;31,61;6,39;6,72;0,71;0,05;28,46;11,98;12,78;7,17;7,17;;;0,86;1,56;-0,05;13,92;10,57;0,71;;0,07;0,93;0,06;-11,56;-3,39;456.103.281,64;44,53;4,70;-0,26;90.289.290.300,20
BBDC3;21,01;5,21;10,57;1,42;0,15;36,57;20,60;22,22;11,40;12,42;;;2,35;1,93;-0,16;6,19;13,39;1,39;;0,10;0,90;0,06;-3,00;-2,54;202.075.331,68;14,84;1,99;3,40;221.019.950.043,27
BBDC4;24,78;4,86;12,47;1,67;0,17;36,57;20,60;22,22;13,45;12,42;;;2,77;2,28;-0,19;6,19;13,39;1,39;;0,10;0,90;0,06;-3,00;-2,54;926.545.115,20;14,84;1,99;4,01;221.019.950.043,27
BBML3;3.936,42;0,01;14.941,03;1.266,22;175,86;12,27;3,44;1,00;4.341,93;4.349,43;7,50;2,19;149,41;2.692,28;-320,05;1,17;8,47;1,18;6,61;0,14;0,86;1,18;45,38;25,57;;3,11;0,26;581,24;160.451.699.191,56
BBRK3;2,51;;-1,52;3,70;1,04;60,12;-118,42;-127,65;-1,64;-1,37;0,28;-0,62;1,95;-11,41;-1,44;0,75;-242,34;-68,06;-223,44;0,28;0,72;0,53;-9,38;;20.316.316,04;0,69;-1,67;0,12;193.188.287,04
BBSE3;22,76;5,94;11,53;6,35;4,40;;;;9,26;9,25;;;;25,63;-6,43;2,20;55,06;38,17;;0,69;0,31;0,00;;-1,76;136.143.366,48;3,58;1,97;-0,29;45.220.000.000,00
BDLL3;11,71;;-0,32;-0,11;0,03;-119,02;-353,49;-350,00;-0,32;-4,44;-4,11;;1,11;-0,08;-0,05;0,52;-35,27;-8,81;-89,53;-0,25;1,25;0,03;-46,07;;80.508,32;-104,27;-36,78;0,00;20.131.770,48
BDLL4;12,50;;-0,34;-0,12;0,03;-119,02;-353,49;-350,00;-0,34;-4,44;-4,11;;1,19;-0,08;-0,05;0,52;-35,27;-8,81;-89,53;-0,25;1,25;0,03;-46,07;;186.966,96;-104,27;-36,78;0,00;20.131.770,48
BEEF3;9,31;11,07;7,47;5,05;0,28;19,14;8,97;3,26;2,71;5,56;2,85;5,31;0,24;0,87;-0,87;1,90;67,61;3,77;14,26;0,06;0,94;1,16;15,30;;62.545.746,04;1,84;1,25;0,06;5.117.094.588,20
BEES3;5,10;4,65;7,70;0,92;0,05;51,44;22,72;14,43;4,89;5,11;;;1,11;0,35;-0,06;;11,91;0,65;;0,05;0,95;0,05;-7,16;7,23;302.650,68;5,58;0,67;-0,75;1.692.529.031,80
BEES4;5,99;3,97;9,02;1,07;0,06;51,44;22,72;14,43;5,73;5,11;;;1,30;0,41;-0,07;;11,91;0,65;;0,05;0,95;0,05;-7,16;7,23;72.269,16;5,58;0,67;-0,87;1.692.529.031,80
BFRE11;0,00;;0,00;0,00;0,00;;;;0,00;;-14,51;-0,29;;0,00;0,00;19,68;4,71;4,56;-0,39;0,97;0,03;0,00;;-3,40;;259.543,93;12.220,36;0,00;
BFRE12;0,00;;0,00;0,00;0,00;;;;0,00;;-14,51;-0,29;;0,00;0,00;19,68;4,71;4,56;-0,39;0,97;0,03;0,00;;-3,40;;259.543,93;12.220,36;0,00;
BGIP3;35,52;2,79;8,81;1,07;0,08;73,94;14,55;9,82;5,95;5,01;;;0,87;-0,50;-0,16;0,77;12,10;0,87;;0,07;0,93;0,09;0,74;14,88;26.780,25;33,30;4,03;-0,36;457.712.020,05
BGIP4;24,37;4,47;6,05;0,73;0,05;73,94;14,55;9,82;4,08;5,01;;;0,59;-0,34;-0,11;0,77;12,10;0,87;;0,07;0,93;0,09;0,74;14,88;30.984,74;33,30;4,03;-0,25;457.712.020,05
BIDI11;76,90;0,03;3.767,14;20,40;3,12;60,24;-5,79;1,61;-1.049,43;-1.049,43;;;60,81;-24,82;-5,57;0,78;0,54;0,08;;0,15;0,85;0,05;14,14;;275.711.269,76;3,77;0,02;-54,45;67.550.820.101,12
BIDI3;25,59;0,03;3.743,13;20,27;3,10;60,24;-5,79;1,61;-1.042,74;-1.049,43;;;60,42;-24,66;-5,54;0,78;0,54;0,08;;0,15;0,85;0,05;14,14;;14.373.382,40;1,26;0,01;-54,11;67.550.820.101,12
BIDI4;25,46;0,03;3.741,66;20,26;3,10;60,24;-5,79;1,61;-1.042,33;-1.049,43;;;60,40;-24,65;-5,54;0,78;0,54;0,08;;0,15;0,85;0,05;14,14;;95.630.996,84;1,26;0,01;-54,08;67.550.820.101,12
BIOM3;15,99;;-15,33;6,29;2,57;21,66;-92,41;-112,13;-18,60;-20,22;-1,62;0,55;17,19;9,12;-4,24;3,56;-41,04;-16,79;-16,28;0,41;0,59;0,15;;;140.158,84;2,54;-1,04;-0,83;1.097.879.119,20
BKBR3;11,39;;-5,68;1,87;0,85;59,01;-20,55;-25,67;-7,09;-7,57;-0,48;0,13;1,46;8,09;-1,12;1,80;-32,90;-15,01;-19,86;0,46;0,54;0,58;18,70;;25.891.535,32;6,10;-2,01;0,00;3.185.862.521,79
BLAU3;47,57;0,04;72,92;27,99;6,00;49,75;35,08;21,57;44,83;47,74;2,91;1,82;15,73;18,44;-16,59;2,04;38,38;8,23;13,26;0,21;0,79;0,38;;;12.047.941,56;1,71;0,66;;8.528.387.860,06
BMEB3;21,48;3,61;7,25;1,08;0,11;75,83;11,45;7,23;4,57;4,39;;;0,52;0,52;-0,20;1,73;14,95;1,45;;0,10;0,90;0,20;-9,42;12,08;17.336,28;19,82;2,96;0,41;1.084.628.299,76
BMEB4;19,20;4,45;6,48;0,97;0,09;75,83;11,45;7,23;4,09;4,39;;;0,47;0,47;-0,18;1,73;14,95;1,45;;0,10;0,90;0,20;-9,42;12,08;145.521,72;19,82;2,96;0,36;1.084.628.299,76
BMGB4;4,69;3,81;8,95;0,68;0,10;73,01;8,63;7,38;7,65;7,65;;;0,66;;-0,10;;7,60;1,06;;0,14;0,86;0,14;11,98;8,39;8.173.934,80;6,90;0,52;-0,50;2.729.527.683,48
BMIN3;23,51;;54,12;0,91;0,56;82,13;33,89;19,50;31,14;30,63;;;10,55;3,90;-0,75;2,25;1,68;1,03;;0,62;0,38;0,05;-1,79;-9,57;12.676,79;25,91;0,43;-2,03;111.586.978,77
BMIN4;20,90;6,70;48,11;0,81;0,50;82,13;33,89;19,50;27,68;30,63;;;9,38;3,47;-0,67;2,25;1,68;1,03;;0,62;0,38;0,05;-1,79;-9,57;23.395,27;25,91;0,43;-1,80;111.586.978,77
BMKS3;235,00;3,37;32,71;0,57;0,51;32,57;8,31;14,53;57,18;-20,05;-77,22;-0,77;4,75;0,67;-2,29;31,35;1,74;1,54;0,11;0,89;0,11;0,11;1,12;-20,41;129.547,14;412,22;7,18;1,15;106.866.250,00
BMOB3;24,18;;38,70;2,11;1,43;56,87;38,34;27,27;27,53;13,28;-14,67;-1,12;10,55;2,78;-8,70;2,62;5,45;3,71;4,76;0,68;0,32;0,14;;;20.579.803,72;11,46;0,62;;2.232.727.299,52
BNBR3;67,00;4,19;5,42;0,89;0,09;66,03;47,13;28,57;3,28;3,28;;;1,55;0,91;-0,16;1,31;16,34;1,73;;0,11;0,89;0,06;-9,48;27,23;37.720,21;75,66;12,37;-0,14;5.786.888.088,00
BOAS3;10,80;0,70;122,41;3.147,44;2.356,46;44,97;11,91;7,41;76,13;76,12;-0,02;-0,63;9,07;4.565,96;-5.831,92;7,46;2.571,14;1.925,00;3.033,17;0,75;0,25;259,95;;;8.100.613,76;0,00;0,09;-4,94;5.724.259.963,80
BOBR3;0,00;;0,00;0,00;0,00;34,84;6,49;-1,16;0,00;8,20;3,92;;0,00;0,00;0,00;0,53;-4,77;-2,00;319,46;-0,42;1,42;1,72;1,10;;;-1,04;-0,05;0,00;317.067.711,96
BOBR4;2,52;;-50,75;-2,42;1,01;34,84;6,49;-1,16;9,10;8,20;3,92;;0,59;-2,91;-1,66;0,53;-4,77;-2,00;319,46;-0,42;1,42;1,72;1,10;;1.613.471,76;-1,04;-0,05;-0,93;317.067.711,96
BPAC11;30,59;0,99;24,12;3,86;0,39;18,80;35,60;37,23;25,22;25,31;;;8,98;6,44;-1,30;1,09;15,98;1,61;;0,10;0,90;0,04;2,49;41,61;378.887.295,88;7,95;1,27;0,20;117.715.611.780,83
BPAC3;21,78;0,46;51,58;8,25;0,83;18,80;35,60;37,23;53,95;25,31;;;19,20;13,78;-2,78;1,09;15,98;1,61;;0,10;0,90;0,04;2,49;41,61;984.737,44;2,65;0,42;0,44;117.715.611.780,83
BPAC5;7,70;1,31;18,18;2,91;0,29;18,80;35,60;37,23;19,01;25,31;;;6,77;4,86;-0,98;1,09;15,98;1,61;;0,10;0,90;0,04;2,49;41,61;449.224,20;2,65;0,42;0,15;117.715.611.780,83
BPAN4;23,40;0,90;41,76;5,19;0,72;68,22;10,69;7,41;28,92;29,12;;;3,09;-4,15;-1,22;0,70;12,43;1,72;;0,14;0,86;0,23;4,82;34,24;150.088.797,44;4,51;0,56;-13,86;28.089.858.180,51
BPAR3;182,07;4,89;9,29;1.123,06;145,17;81,26;32,25;15,93;4,59;4,59;;;1,48;723,41;-181,61;;12.083,68;1.561,94;;0,13;0,87;98,07;3,12;3,40;;0,16;19,59;-0,23;1.733.606.633,43
BPAT33;44,05;;6,98;0,66;0,09;51,56;21,77;5,61;1,80;1,80;;;0,39;;-0,12;;9,46;1,35;;0,14;0,86;0,24;14,99;-24,79;;66,71;6,31;-0,11;1.533.769.021,00
BPHA3;0,62;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,80;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,50;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;;-2,58;10,40;0,00;70.110.298,74
BRAP3;64,15;7,72;7,17;1,84;1,67;;;;7,19;7,57;-0,40;-0,10;;210,20;-1,85;1,09;25,60;23,30;25,54;0,91;0,09;0,00;;;1.579.053,92;34,95;8,95;0,00;24.867.184.305,66
BRAP4;74,67;7,29;8,35;2,14;1,95;;;;8,37;7,57;-0,40;-0,10;;244,80;-2,16;1,09;25,60;23,30;25,54;0,91;0,09;0,00;;;162.173.114,48;34,95;8,95;0,00;24.867.184.305,66
BRBI11;21,29;;;;;;;;;;;;;;;;;;;;;;;;24.401.502,33;;0,00;;6.693.439.584,00
BRDT3;28,76;8,70;8,05;2,64;1,15;6,23;5,72;4,82;6,78;7,98;1,20;0,47;0,39;3,35;-2,30;3,13;32,78;14,23;17,39;0,43;0,57;2,95;-3,48;;410.187.391,40;10,90;3,57;0,07;33.750.050.000,00
BRFS3;26,27;;14,68;2,57;0,42;22,90;7,10;3,54;7,31;12,48;5,16;1,81;0,52;2,59;-0,79;1,51;17,52;2,83;8,31;0,16;0,84;0,80;4,16;-14,99;316.329.902,24;10,22;1,79;0,91;21.384.295.834,72
BRGE11;10,08;3,61;21,96;0,60;0,24;-431,40;277,43;172,09;13,62;-16,47;-29,10;-1,28;37,79;0,57;-0,61;3,40;2,72;1,11;2,12;0,41;0,40;0,01;-1,53;-7,25;3.406,83;16,86;0,46;-0,67;687.930.471,28
BRGE12;6,09;;13,27;0,36;0,15;-431,40;277,43;172,09;8,23;-16,47;-29,10;-1,28;22,83;0,34;-0,37;3,40;2,72;1,11;2,12;0,41;0,40;0,01;-1,53;-7,25;4.727,18;16,86;0,46;-0,41;687.930.471,28
BRGE3;8,14;;17,74;0,48;0,20;-431,40;277,43;172,09;11,00;-16,47;-29,10;-1,28;30,52;0,46;-0,49;3,40;2,72;1,11;2,12;0,41;0,40;0,01;-1,53;-7,25;6.686,27;16,86;0,46;-0,54;687.930.471,28
BRGE5;10,80;2,81;23,53;0,64;0,26;-431,40;277,43;172,09;14,60;-16,47;-29,10;-1,28;40,49;0,61;-0,66;3,40;2,72;1,11;2,12;0,41;0,40;0,01;-1,53;-7,25;2.482,00;16,86;0,46;-0,72;687.930.471,28
BRGE6;14,91;4,88;32,49;0,88;0,36;-431,40;277,43;172,09;20,15;-16,47;-29,10;-1,28;55,90;0,84;-0,91;3,40;2,72;1,11;2,12;0,41;0,40;0,01;-1,53;-7,25;1.491,00;16,86;0,46;-0,99;687.930.471,28
BRGE7;5,40;7,86;11,77;0,32;0,13;-431,40;277,43;172,09;7,30;-16,47;-29,10;-1,28;20,25;0,31;-0,33;3,40;2,72;1,11;2,12;0,41;0,40;0,01;-1,53;-7,25;;16,86;0,46;-0,36;687.930.471,28
BRGE8;9,75;3,11;21,24;0,58;0,24;-431,40;277,43;172,09;13,18;-16,47;-29,10;-1,28;36,56;0,55;-0,59;3,40;2,72;1,11;2,12;0,41;0,40;0,01;-1,53;-7,25;5.694,25;16,86;0,46;-0,65;687.930.471,28
BRIV3;10,08;0,05;11,16;0,58;0,05;19,66;17,92;11,83;7,36;6,96;;;1,32;0,42;-0,12;1,28;5,18;0,47;;0,09;0,91;0,04;-14,49;-2,44;20.164,39;17,46;0,90;0,42;852.804.197,05
BRIV4;8,70;6,65;9,63;0,50;0,05;19,66;17,92;11,83;6,35;6,96;;;1,14;0,37;-0,10;1,28;5,18;0,47;;0,09;0,91;0,04;-14,49;-2,44;22.883,00;17,46;0,90;0,36;852.804.197,05
BRKM3;58,71;;-85,46;108,96;0,50;25,18;9,17;-0,80;7,45;11,55;4,10;59,89;0,68;7,48;-0,86;1,19;-127,49;-0,58;15,45;0,00;1,02;0,73;4,54;;1.004.130,76;0,54;-0,69;0,92;47.059.592.423,26
BRKM5;58,94;;-85,45;108,94;0,50;25,18;9,17;-0,80;7,45;11,55;4,10;59,89;0,68;7,48;-0,86;1,19;-127,49;-0,58;15,45;0,00;1,02;0,73;4,54;;166.501.300,24;0,54;-0,69;0,92;47.059.592.423,26
BRKM6;44,00;;-63,95;81,54;0,37;25,18;9,17;-0,80;5,58;11,55;4,10;59,89;0,51;5,60;-0,65;1,19;-127,49;-0,58;15,45;0,00;1,02;0,73;4,54;;7.914,17;0,54;-0,69;0,69;47.059.592.423,26
BRML3;9,92;;-24,34;0,80;0,44;87,56;-40,70;-41,28;-24,68;-31,44;-6,70;0,22;10,05;4,88;-0,50;4,70;-3,29;-1,81;-3,45;0,55;0,42;0,04;-7,67;;167.924.230,48;12,37;-0,41;0,19;8.670.293.436,69
BRPR3;8,97;2,19;21,47;0,61;0,40;100,00;108,20;64,18;12,74;17,98;5,25;0,25;13,78;7,35;-0,44;2,44;2,82;1,86;2,54;0,66;0,34;0,03;-15,19;;19.582.174,12;14,82;0,42;-0,37;4.394.101.930,02
BRQB3;0,00;;0,00;0,00;0,00;33,03;11,55;6,97;0,00;-0,91;-0,91;-0,51;0,00;0,00;0,00;1,99;33,98;12,97;22,84;0,38;0,61;1,86;3,80;47,08;;0,82;0,28;0,00;0,00
BRSR3;14,12;5,37;7,69;0,67;0,06;73,88;13,83;10,33;5,75;5,49;;;0,79;1,29;-0,07;1,92;8,73;0,78;;0,09;0,91;0,08;-5,25;-6,77;234.117,76;20,98;1,83;-0,20;5.495.294.101,62
BRSR5;19,40;5,08;10,59;0,92;0,08;73,88;13,83;10,33;7,92;5,49;;;1,09;1,78;-0,09;1,92;8,73;0,78;;0,09;0,91;0,08;-5,25;-6,77;20.337,14;20,98;1,83;-0,28;5.495.294.101,62
BRSR6;12,81;5,90;7,00;0,61;0,05;73,88;13,83;10,33;5,23;5,49;;;0,72;1,17;-0,06;1,92;8,73;0,78;;0,09;0,91;0,08;-5,25;-6,77;22.647.216,40;20,98;1,83;-0,18;5.495.294.101,62
BSEV3;9,00;;10,22;-10,84;0,78;26,77;17,92;5,55;3,17;5,46;2,30;;0,57;-1,59;-1,13;0,39;-106,05;7,59;30,90;-0,07;1,07;1,37;10,88;;1.097.133,50;-0,83;0,88;-0,06;9.183.864.834,00
BSLI3;34,15;5,57;27,00;6,00;0,45;75,89;26,24;18,59;19,12;17,79;;;5,02;-2,21;-0,53;0,43;22,22;1,66;;0,07;0,93;0,09;-2,43;29,66;16.387,45;5,69;1,27;968,33;11.537.535.975,00
BSLI4;23,77;8,80;18,79;4,18;0,31;75,89;26,24;18,59;13,31;17,79;;;3,49;-1,54;-0,37;0,43;22,22;1,66;;0,07;0,93;0,09;-2,43;29,66;41.834,52;5,69;1,27;674,00;11.537.535.975,00
